English Term,Glyph,Proto-Script,Target Language,Phonetic Hint,,"// The Scalar Loom Unified Mapping Protocol V1.0 August 14, 2025"
CMB Residual Pulse,∿𓇳,PS: TBD,Hawaiian,Hint TBD,,
CMB Residual Pulse,∿𓇳,PS: TBD,Inuktitut,Hint TBD,,
BAO Standing Wave,≈≈↔︎,PS: TBD,English,Hint TBD,,
BAO Standing Wave,≈≈↔︎,PS: TBD,Spanish,Hint TBD,,
BAO Standing Wave,≈≈↔︎,PS: TBD,French,Hint TBD,,
BAO Standing Wave,≈≈↔︎,PS: TBD,Arabic,Hint TBD,,
BAO Standing Wave,≈≈↔︎,PS: TBD,Mandarin Chinese,Hint TBD,,
BAO Standing Wave,≈≈↔︎,PS: TBD,Hindi,Hint TBD,,
BAO Standing Wave,≈≈↔︎,PS: TBD,Russian,Hint TBD,,
BAO Standing Wave,≈≈↔︎,PS: TBD,Māori,Hint TBD,,
BAO Standing Wave,≈≈↔︎,PS: TBD,Quechua,Hint TBD,,
BAO Standing Wave,≈≈↔︎,PS: TBD,Swahili,Hint TBD,,
BAO Standing Wave,≈≈↔︎,PS: TBD,Hawaiian,Hint TBD,,
BAO Standing Wave,≈≈↔︎,PS: TBD,Inuktitut,Hint TBD,,
SNe Ia Tipping Point,Ω✧,PS: TBD,English,Hint TBD,,
SNe Ia Tipping Point,Ω✧,PS: TBD,Spanish,Hint TBD,,
SNe Ia Tipping Point,Ω✧,PS: TBD,French,Hint TBD,,
SNe Ia Tipping Point,Ω✧,PS: TBD,Arabic,Hint TBD,,
SNe Ia Tipping Point,Ω✧,PS: TBD,Mandarin Chinese,Hint TBD,,
SNe Ia Tipping Point,Ω✧,PS: TBD,Hindi,Hint TBD,,
SNe Ia Tipping Point,Ω✧,PS: TBD,Russian,Hint TBD,,
SNe Ia Tipping Point,Ω✧,PS: TBD,Māori,Hint TBD,,
SNe Ia Tipping Point,Ω✧,PS: TBD,Quechua,Hint TBD,,
SNe Ia Tipping Point,Ω✧,PS: TBD,Swahili,Hint TBD,,
SNe Ia Tipping Point,Ω✧,PS: TBD,Hawaiian,Hint TBD,,
SNe Ia Tipping Point,Ω✧,PS: TBD,Inuktitut,Hint TBD,,
Seismic Breath Rupture,⟲⚡,PS: TBD,English,Hint TBD,,
Seismic Breath Rupture,⟲⚡,PS: TBD,Spanish,Hint TBD,,
Seismic Breath Rupture,⟲⚡,PS: TBD,French,Hint TBD,,
Seismic Breath Rupture,⟲⚡,PS: TBD,Arabic,Hint TBD,,
Seismic Breath Rupture,⟲⚡,PS: TBD,Mandarin Chinese,Hint TBD,,
Seismic Breath Rupture,⟲⚡,PS: TBD,Hindi,Hint TBD,,
Seismic Breath Rupture,⟲⚡,PS: TBD,Russian,Hint TBD,,
Seismic Breath Rupture,⟲⚡,PS: TBD,Māori,Hint TBD,,
Seismic Breath Rupture,⟲⚡,PS: TBD,Quechua,Hint TBD,,
Seismic Breath Rupture,⟲⚡,PS: TBD,Swahili,Hint TBD,,
Seismic Breath Rupture,⟲⚡,PS: TBD,Hawaiian,Hint TBD,,
Seismic Breath Rupture,⟲⚡,PS: TBD,Inuktitut,Hint TBD,,
Voyager ENA Boundary,⟡◎,PS: TBD,English,Hint TBD,,
Voyager ENA Boundary,⟡◎,PS: TBD,Spanish,Hint TBD,,
Voyager ENA Boundary,⟡◎,PS: TBD,French,Hint TBD,,
Voyager ENA Boundary,⟡◎,PS: TBD,Arabic,Hint TBD,,
Voyager ENA Boundary,⟡◎,PS: TBD,Mandarin Chinese,Hint TBD,,
Voyager ENA Boundary,⟡◎,PS: TBD,Hindi,Hint TBD,,
Voyager ENA Boundary,⟡◎,PS: TBD,Russian,Hint TBD,,
Voyager ENA Boundary,⟡◎,PS: TBD,Māori,Hint TBD,,
Voyager ENA Boundary,⟡◎,PS: TBD,Quechua,Hint TBD,,
Voyager ENA Boundary,⟡◎,PS: TBD,Swahili,Hint TBD,,
Voyager ENA Boundary,⟡◎,PS: TBD,Hawaiian,Hint TBD,,
Voyager ENA Boundary,⟡◎,PS: TBD,Inuktitut,Hint TBD,,
